Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Sincretismo,sincretìsmo,"Fusione di dottrine, religioni o filosofie diverse.",Fusione; mescolanza; sintesi (religiosa),Purismo; separazione; ortodossia,"Dal greco ""synkretismos"".",Sincretismo religioso in Brasile.,Sincretismo culturale.,Forma di sincretismo artistico.,Bassa,Religioso / Culturale,Nessuno,No
,Sinossi,sinòssi,"Compendio, riassunto schematico, visione d'insieme (trama di un film/libro).",Riassunto; compendio; schema; sintesi,Analisi dettagliata; opera completa,"Dal greco ""synopsis"" (sguardo d'insieme).",Leggere la sinossi del romanzo.,Vangeli sinottici.,Scrivere una breve sinossi.,Media,Letterario / Cinema,Sinopsi (variante comune),No
,Sinterizzazione,sinterizzazióne,Processo per compattare polveri in un solido tramite calore (senza fusione totale).,Compattazione a caldo,Fusione completa,"Dal tedesco ""sintern"".",Ceramica prodotta per sinterizzazione.,Metalli sinterizzati.,Tecnologia di sinterizzazione.,Molto bassa,Industriale,Nessuno,No
,Smaccato,smaccàto,"Eccessivo, sfacciato, esagerato in modo sgradevole.",Eccessivo; sfacciato; palese; esagerato,Discreto; misurato; sottile; velato,"Participio passato di ""smaccare"" (schiacciare/umiliare).",Una lode smaccata.,Favoritismo smaccato.,Bugia smaccata.,Media,Comune,Smacato (una c),No
,Smargiasso,smargiàsso,"Millantatore, spaccone, chi si vanta di imprese mai compiute.",Fanfarone; millantatore; spaccone; gradasso,Modesto; umile; timido; riservato,"Forse dal greco ""smaragos"" (rumore).",Fare lo smargiasso al bar.,"Non è un eroe, è solo uno smargiasso.",Arie da smargiasso.,Bassa,Comune,Smargiaso (una s),No
,Sodale,sodàle,"Compagno, amico fidato (specie in associazioni o combriccole).",Compagno; amico; complice; associato,Nemico; avversario; estraneo; rivale,"Dal latino ""sodalis"".",Il suo fedele sodale.,I sodali del partito.,Un gruppo di vecchi sodali.,Bassa,Letterario / Politico,Nessuno,No
,Soffocamento,soffocaménto,Impedimento della respirazione; asfissia; (fig.) oppressione intollerabile.,Asfissia; strozzamento; oppressione; mancanza d'aria,Respiro; sollievo; liberazione; ossigenazione,"Derivato da ""soffocare"".",Morire per soffocamento.,Senso di soffocamento.,Manovra anti-soffocamento.,Alta,Comune / Medico,Nessuno,No
,Soggiogato,soggiogàto,"Sottomesso, dominato totalmente, reso schiavo.",Sottomesso; dominato; vinto; asservito,Libero; ribelle; indomito; padrone,"Participio passato di ""soggiogare"".",Popolo soggiogato dal tiranno.,Essere soggiogato da una passione.,Soggiogato dalla paura.,Media,Letterario,Sogiogato (una g),No
,Soglio,sòglio,Trono (specie papale o regale).,Trono; seggio (papale o regale),-,"Dal latino ""solium"".",Salire al soglio pontificio.,Il soglio di Pietro.,Sedere sul soglio.,Bassa,Religioso / Storico,Nessuno,No
,Solipsista,solipsìsta,Chi crede nel solipsismo (esiste solo l'Io); egocentrico estremo.,Egocentrico (estremo); soggettivista,Altruista; realista; oggettivo,"Dal latino ""solus"" (solo) e ""ipse"" (stesso).",Atteggiamento solipsista.,Chiusura solipsista.,Il solipsista nega la realtà esterna.,Molto bassa,Filosofia,Nessuno,No
,Sollazzare,sollazzàre,"Divertire, svagare, intrattenere piacevolmente.",Divertire; svagare; intrattenere; ricreare,Annoiare; rattristare; tediare; stancare,"Dal latino ""solatium"" (conforto).",Sollazzare gli ospiti con barzellette.,Si sollazzava al sole.,Sollazzarsi con il cibo.,Bassa,Letterario / Comune,Solazzare (una l),No
,Sollazzo,sollàzzo,"Divertimento, svago piacevole, ricreazione.",Divertimento; svago; piacere; spasso,Noia; tedio; tristezza; lavoro,Vedi Sollazzare.,Ora di sollazzo.,Cercare sollazzo.,Sollazzi carnevaleschi.,Bassa,Letterario / Comune,Solazzo (una l),No
,Soqquadro,soqquàdro,"Grande disordine, scompiglio (unica parola italiana con 'qq').",Disordine; scompiglio; caos; confusione,Ordine; assetto; tranquillità; pace,"Derivato da ""squadrare"" (rompere la squadra).",Mettere a soqquadro la casa.,Camera a soqquadro.,Cervello a soqquadro.,Media,Comune,Soccuadro (errato),No
,Sordido,sòrdido,"Sporco, lercio; moralmente basso, abietto, meschino.",Sporco; lercio; abietto; meschino,Pulito; nobile; generoso; limpido,"Dal latino ""sordidus"".",Un ambiente sordido e buio.,Affari sordidi.,Avarizia sordida.,Bassa,Letterario,Nessuno,No
,Sornione,sornióne,Che nasconde i propri pensieri sotto un'apparenza bonaria o indifferente; beffardo.,Beffardo; dissimulatore; sottecchi; finto tonto,Aperto; schietto; ingenuo; espansivo,"Dal francese ""sournois"".",Sorriso sornione.,Gatto sornione.,Mi guardò con aria sorniona.,Media,Comune,Nessuno,No
,Sottecchi,sottécchi,"In modo furtivo, obliquo, senza farsi notare (riferito allo sguardo).",Di nascosto; furtivamente; obliquamente,Apertamente; fissamente; palesemente,"Composto da ""sotto"" e ""occhi"".",Guardare di sottecchi per non farsi notare.,Ridere di sottecchi.,Osservare di sottecchi.,Bassa,Comune,Sotecchi (una t),No
,Sottone,sottóne,(Gergo) Chi dipende totalmente dal partner o dagli altri; zerbino.,Sottomesso; zerbino; dipendente (affettivo),Dominante; alfa; indipendente,"Derivato da ""sotto"".",Sei proprio un sottone!,Fare il sottone.,"Non essere sottone, fatti valere.",Bassa,Gergo / Slang,Nessuno,No
,Soverchiante,soverchiànte,"Che supera grandemente, schiacciante, eccessivo.",Schiacciante; eccessivo; superiore; predominante,Scarso; inferiore; insufficiente; debole,"Participio presente di ""soverchiare"".",Forza soverchiante.,Numero soverchiante di nemici.,Una maggioranza soverchiante.,Bassa,Letterario,Nessuno,No
,Specismo,specìsmo,Discriminazione basata sull'appartenenza a una specie (l'uomo superiore agli animali).,Discriminazione di specie,Antispecismo; egualitarismo,"Dall'inglese ""speciesism"".",Combattere lo specismo.,L'antispecismo si oppone allo specismo.,Pregiudizio specista.,Bassa,Filosofia / Etica,Nessuno,No
,Sperequazione,sperequazióne,Mancanza di equità nella distribuzione (specie economica); dislivello.,Disuguaglianza; disparità; squilibrio; dislivello,Equità; uguaglianza; parità; equilibrio,"Derivato da ""equazione"" con prefisso negativo.",Sperequazione salariale.,Forti sperequazioni tra Nord e Sud.,Ridurre le sperequazioni.,Bassa,Economico / Politico,Nessuno,No
,Spiombare,spiombàre,Togliere il piombo (sigillo); cadere pesantemente a piombo.,Cadere a piombo; piombare; togliere il sigillo,-,"Derivato da ""piombo"".",Spiombare le merci alla dogana.,L'aquila spiombò sulla preda.,Spiombare addosso a qualcuno.,Bassa,Tecnico / Letterario,Nessuno,No
,Spiovere,spiovére,Cessare di piovere; scendere giù (di capelli o abiti).,Cessare (di piovere); scendere; cadere (capelli),Piovere; salire,"Derivato da ""piovere"".",Aspettiamo che spiova.,I capelli le spiovevano sulle spalle.,Tetto che spiove molto.,Media,Comune,Nessuno,No
,Spocchioso,spocchióso,"Arrogante, presuntuoso, snob.",Arrogante; presuntuoso; snob; altero,Umile; modesto; semplice; alla mano,"Derivato da ""spocchia"" (alterigia).",Un tipo spocchioso e antipatico.,Atteggiamento spocchioso.,Risposta spocchiosa.,Media,Colloquiale,Spochioso (una c),No
,Sproloquio,sprolòquio,"Discorso lungo, noioso, inconcludente o pieno di spropositi.",Lungaggine; discorso vano; filippica; tirata,Sintesi; discorso conciso; brevità,"Dal latino ""proloquium"" (sentenza) alterato.",Ha fatto un inutile sproloquio.,Perdersi in sproloqui.,Sproloquio delirante.,Bassa,Comune,Sproloqio (senza u),No
,Squadernare,squadernàre,Aprire un libro o quaderno spalancandolo; mostrare apertamente.,Spalancare; aprire; mostrare; esibire,Chiudere; nascondere; celare; riporre,"Derivato da ""quaterno"".",Squadernare la verità.,Squadernare un album di foto.,Squadernare i propri sentimenti.,Bassa,Letterario,Nessuno,No
,Stante,stànte,"Che sta; attuale; (preposizione) dato che, visto che.",Attuale; presente; (prep) dato; visto,Passato; futuro,"Participio presente di ""stare"".","Stante la situazione, non possiamo procedere.",Poco stante (poco dopo).,Il mese stante (corrente).,Media,Burocratico / Comune,Nessuno,No
,Stentoreo,stentòreo,"Di voce molto forte, potente e risonante.",Potente; forte; rimbombante; tonante,Flebile; debole; sussurrato; sommesso,Dal greco Stentore (araldo dell'Iliade).,Voce stentorea.,Parlare con tono stentoreo.,Urlo stentoreo.,Bassa,Letterario,Nessuno,No
,Stilemi,stilèmi,Elementi distintivi dello stile di un autore o di un'epoca.,Tratti stilistici; elementi distintivi; canoni,-,"Derivato da ""stile"".",Gli stilemi del Barocco.,Riconoscere gli stilemi dell'autore.,Ripetere stancamente vecchi stilemi.,Bassa,Critica / Arte,Nessuno,No
,Stillicidio,stillicìdio,"Caduta di gocce una a una; figurato: fastidio continuo, lenta erosione.",Gocciolamento; (fig) tormento lento; erosione,Flusso continuo; rapidità,"Dal latino ""stillicidium"".",Uno stillicidio di cattive notizie.,Lo stillicidio delle polemiche.,Tortura dello stillicidio.,Media,Giornalistico,Stilicidio (una l),No
,Stocastico,stocàstico,"Casuale, probabilistico (che dipende dal caso).",Casuale; aleatorio; probabilistico,Deterministico; certo; prevedibile,"Dal greco ""stochastikos"" (che mira).",Processo stocastico.,Variabile stocastica.,Musica stocastica (Xenakis).,Molto bassa,Matematica / Statistica,Nessuno,No
,Stolido,stòlido,Sciocco in modo ottuso e passivo; privo di reazione.,Ottuso; sciocco; inebetito; insensato,Accorto; sveglio; intelligente; perspicace,"Dal latino ""stolidus"".",Espressione stolida.,Rimanere stolido e indifferente.,Resistenza stolida.,Bassa,Letterario,Nessuno,No
,Storditezza,storditézza,"Stato confusionale, smarrimento, sbadataggine.",Confusione; smarrimento; sbadataggine; stordimento,Lucidità; prontezza; attenzione; presenza,"Derivato da ""stordito"".",Agire con storditezza.,Momento di storditezza.,La storditezza della vecchiaia.,Bassa,Comune,Nessuno,No
,Strali,stràli,"Frecce, dardi (poetico); figurato: critiche pungenti, attacchi verbali.",Frecce; dardi; (fig) critiche; attacchi,Elogi; difese; scudi,"Plurale di ""strale"" (dal germanico ""strala"").",Gli strali dell'amore.,Lanciare strali contro il governo.,Colpito dagli strali della sfortuna.,Bassa,Letterario / Giornalistico,Nessuno,No
,Strangolamento,strangolaménto,Uccisione per soffocamento comprimendo il collo; strozzatura (economia).,Strozzamento; soffocamento; asfissia,Allentamento; liberazione; respiro,"Derivato da ""strangolare"".",Morte per strangolamento.,Strangolamento dell'economia.,Manovra di strangolamento.,Media,Cronaca / Economia,Nessuno,No
,Straniante,straniànte,Che provoca un senso di estraneità o disorientamento (effetto Brecht).,Alienante; disorientante; sorprendente,Familiare; rassicurante; consueto,"Participio presente di ""straniare"".",Effetto straniante.,Atmosfera straniante.,Un film straniante.,Bassa,Arte / Teatro,Nessuno,No
,Strinare,strinàre,"Bruciacchiare superficialmente (peli, tessuti) con fiamma; soffrire il freddo (dialettale).",Bruciacchiare; abbrustolire; strinare,-,"Forse dal latino ""ustrinare"".",Strinare il pollo.,Puzza di strinato (bruciato).,Mi sono strinato i capelli.,Bassa,Comune,Nessuno,No
,Stronzio,strònzio,"Elemento chimico (Sr); insulto (stupido/stronzo, eufemismo).",(Elem) Sr; (fig) stupido,-,Dal villaggio scozzese di Strontian.,Isotopi dello stronzio.,Non fare lo stronzio (scherzoso per stronzo).,Orologio allo stronzio.,Bassa,Chimica / Scherzoso,Nessuno,No
,Stucchevole,stucchévole,"Che nausea, che stufa (per troppa dolcezza o insistenza); melenso.",Nauseante; melenso; fastidioso; dolciastro,Piacevole; interessante; asciutto; gradevole,"Derivato da ""stucco"" (sazio/nauseato).",Dolce stucchevole.,Complimenti stucchevoli.,Persona stucchevole.,Media,Comune,Stuchevole (una c),No
,Subitaneo,subitàneo,"Improvviso, repentino, che accade subito.",Improvviso; repentino; immediato; istantaneo,Lento; graduale; previsto; atteso,"Dal latino ""subitaneus"".",Morte subitanea.,Ispirazione subitanea.,Cambiamento subitaneo.,Bassa,Letterario,Nessuno,No
,Sublime,sublìme,Che si innalza grandemente sopra il comune; eccelso (estetica: bello e terribile).,Eccelso; sommo; magnifico; grandioso,Infimo; mediocre; banale; ridicolo,"Dal latino ""sublimis"".",Poesia sublime.,Il sentimento del sublime (Kant).,Dal sublime al ridicolo.,Media,Filosofia / Arte,Nessuno,No
,Succinto,succìnto,"Breve, conciso (discorso); corto, ridotto (abito).",Breve; conciso; corto; ridotto,Prolisso; lungo; ampio; esteso,"Dal latino ""succinctus"" (cinto in basso).",Un resoconto succinto.,Vestito succinto.,Essere succinti.,Media,Comune,Sucinto (una c),No
,Succube,sùccube,Chi subisce passivamente la volontà altrui; (mitologia) demone femminile.,Sottomesso; dominato; schiavo; dipendente,Dominatore; padrone; capo; libero,"Dal latino ""succuba"" (che giace sotto).",Essere succube della moglie.,Personalità succube.,Demone succube.,Media,Psicologia / Comune,Succube (spesso pronunciato succùbe err.),No
,Suffragio,suffràgio,"Voto, approvazione; preghiera per i defunti.",Voto; consenso; approvazione; preghiera,-,"Dal latino ""suffragium"".",Suffragio universale.,Messa di suffragio.,Ottenere il suffragio.,Media,Politico / Religioso,Sufragio (una f),No
,Surrettizio,surrettìzio,"Fatto di nascosto, fraudolento, che nasconde la verità.",Fraudolento; nascosto; subdolo; furtivo,Palese; manifesto; onesto; aperto,"Dal latino ""surrepticius"" (rubato).",Introdurre una norma in modo surrettizio.,Argomento surrettizio.,Pubblicità surrettizia.,Bassa,Giuridico / Colto,Surettizio (una r),No
,Sussiego,sussiègo,"Aria di gravità e importanza, contegno altezzoso.",Altezzosità; gravità; boria; importanza,Semplicità; naturalezza; modestia; umiltà,"Dallo spagnolo ""sosiego"" (calma).",Camminare con sussiego.,Darsi un tono di sussiego.,Pieno di sussiego.,Bassa,Comune,Susiego (una s),No
,Sussiegoso,sussiegóso,Che ha o mostra sussiego; altezzoso.,Altezzoso; contegnoso; grave; borioso,Semplice; modesto; spontaneo; umile,"Derivato da ""sussiego"".",Un cameriere sussiegoso.,Aria sussiegosa.,Rispose in modo sussiegoso.,Bassa,Comune,Nessuno,No
,Sussunto,sussùnto,"Ricondotto a un concetto più generale; incluso, classificato.",Incluso; compreso; classificato; ricondotto,Escluso; separato; distinto,"Participio passato di ""sussumere"".",Il caso particolare viene sussunto nella legge generale.,Concetto sussunto.,Logica della sussunzione.,Molto bassa,Filosofia / Giuridico,Nessuno,No
,Svillaneggiare,svillaneggiàre,"Insultare pesantemente, trattare da villano, offendere.",Insultare; oltraggiare; offendere; vituperare,Onorare; lodare; rispettare; esaltare,"Derivato da ""villano"".",Svillaneggiare un avversario.,Fu svillaneggiato in pubblico.,Smetti di svillaneggiare la gente.,Bassa,Letterario,Svilaneggiare (una l),No
,Tafferuglio,tafferùglio,"Zuffa confusa, scontro disordinato, rissa.",Rissa; zuffa; tumulto; scontro,Calma; pace; ordine; tranquillità,Etimologia incerta (forse onomatopeica).,Ci fu un tafferuglio allo stadio.,Sedare i tafferugli.,Uscire malconcio dal tafferuglio.,Media,Comune / Cronaca,Taferuglio (una f),No
,Talismano,talismàno,Oggetto a cui si attribuiscono poteri magici portafortuna.,Amuleto; portafortuna; feticcio,Iettatura; malocchio,"Dall'arabo ""tilsam"" (immagine magica).",Portare un talismano al collo.,Credeva nel potere del suo talismano.,Essere un talismano per la squadra.,Media,Comune,Nessuno,No
,Tambureggiare,tambureggiàre,"Battere ritmicamente come su un tamburo; (figurato) insistere, incalzare (di notizie).",Battere; picchiettare; (fig) incalzare,-,"Derivato da ""tamburo"".",Tambureggiare con le dita sul tavolo.,La pioggia tambureggiava sul tetto.,La notizia iniziò a tambureggiare sui media.,Bassa,Comune,Nessuno,No
,Tedio,tédio,"Noia profonda, senso di fastidio e stanchezza morale.",Noia; fastidio; uggia; malinconia,Divertimento; interesse; passione; allegria,"Dal latino ""taedium"".",Morire di tedio.,Il tedio della vita quotidiana.,Ingannare il tedio.,Bassa,Letterario,Nessuno,No
,Teleologia,teleologìa,Dottrina che spiega i fenomeni in base al fine (scopo) che devono raggiungere.,Finalismo; studio dei fini,Meccanicismo; casualità,"Dal greco ""telos"" (fine) e ""logos"".",Visione teleologica della storia.,Spiegazione teleologica.,La natura agisce secondo una teleologia?,Molto bassa,Filosofia,Nessuno,No
,Tenzone,tenzóne,"Gara poetica (medievale); duello, combattimento, disputa.",Gara; duello; disputa; contesa,Accordo; pace; tregua; intesa,"Dal provenzale ""tenso"" (disputa).",Una tenzone letteraria.,Scendere in campo per la tenzone.,Accesa tenzone verbale.,Bassa,Letterario / Storico,Nessuno,No
,Teosofia,teosofìa,Dottrina mistica che pretende di raggiungere la conoscenza di Dio tramite intuizione o rivelazione.,Sapienza divina; mistica; esoterismo,-,"Dal greco ""theos"" (dio) e ""sophia"" (sapienza).",La Società Teosofica di Madame Blavatsky.,Principi di teosofia.,Pensiero teosofico.,Molto bassa,Filosofia / Esoterismo,Nessuno,No
,Terebrare,terebràre,"Forare, trapanare, perforare (termine tecnico o dotto).",Forare; perforare; trapanare; bucare,Otturare; tappare; chiudere,"Dal latino ""terebrare"" (trivellare).",Insetti che terebrano il legno.,Dolore terebrante (che trafigge).,Terebrare la roccia.,Molto bassa,Tecnico / Medico,Nessuno,No
,Tinnito,tinnìto,Suono acuto e metallico; ronzio persistente nell'orecchio (acufene).,Ronzio; scampanellio; tintinnio; acufene,Silenzio,"Dal latino ""tinnitus"".",Il tinnito delle spade.,Soffrire di tinnito all'orecchio destro.,Un fastidioso tinnito.,Bassa,Medico / Letterario,Tinito (una n),No
,Titillare,titillàre,Solleticare lievemente; figurato: stuzzicare piacevolmente (i sensi o l'amor proprio).,Solleticare; stuzzicare; eccitare; lusingare,Infastidire; irritare; tediare,"Dal latino ""titillare"".",Titillare il palato con cibi prelibati.,Titillare la vanità.,Una piuma per titillare.,Bassa,Letterario,Nessuno,No
